song_title,chord_progression,chord_list,num_unique
Babik - Django Reinhardt,D Em A7 D Em A7 D Em A7 D A7 D Em A7 D Em A7 D Em A7 D A7 D F#7alterb5 B7alterb5 E7alterb5 A7alterb5 D Em A7 D Em A7 D Em A7 D A7 D,"['D', 'Em', 'A7', 'D', 'Em', 'A7', 'D', 'Em', 'A7', 'D', 'A7', 'D', 'Em', 'A7', 'D', 'Em', 'A7', 'D', 'Em', 'A7', 'D', 'A7', 'D', 'F#7alterb5', 'B7alterb5', 'E7alterb5', 'A7alterb5', 'D', 'Em', 'A7', 'D', 'Em', 'A7', 'D', 'Em', 'A7', 'D', 'A7', 'D']",7
Baby Elephant Walk,A E7 A D7 A E7 D7 A D7 A E7 D7 A D A D A G# G F# F E E- D7 A E7 D7 A,"['A', 'E7', 'A', 'D7', 'A', 'E7', 'D7', 'A', 'D7', 'A', 'E7', 'D7', 'A', 'D', 'A', 'D', 'A', 'G#', 'G', 'F#', 'F', 'E', 'E-', 'D7', 'A', 'E7', 'D7', 'A']",10
Baby Face,F C7 F Cm6 D7 G7 C7 F C7 F C7 F Fm6 C G7 C G7 C G7 C C#dim G7 C7 F D-7 F C7 F#dim C7 F Cm6 D7 G7 C7 F D-7 F A7 Em7 A7 Dm F7 B- Bdim F D7 G7 C7 F D-7 F C7 F#dim C7 F Cm6 D7 G7 C7 F D-7 F A7 Em7 A7 Dm F7 B- Bdim F D7 G7 C7 F D-7 F C7 F#dim C7 F Cm6 D7 G7 C7 F D-7 F A7 Em7 A7 Dm F7 B- Bdim F D7 G7 C7 F C7 F Cm6 D7 G7 C7 F C7 F C7 F Fm6 C G7 C G7 C G7 C C#dim G7 C7 F D-7 F C7 F#dim C7 F Cm6 D7 G7 C7 F D-7 F A7 Em7 A7 Dm F7 B- Bdim F D7 G7 C7 F,"['F', 'C7', 'F', 'Cm6', 'D7', 'G7', 'C7', 'F', 'C7', 'F', 'C7', 'F', 'Fm6', 'C', 'G7', 'C', 'G7', 'C', 'G7', 'C', 'C#dim', 'G7', 'C7', 'F', 'D-7', 'F', 'C7', 'F#dim', 'C7', 'F', 'Cm6', 'D7', 'G7', 'C7', 'F', 'D-7', 'F', 'A7', 'Em7', 'A7', 'Dm', 'F7', 'B-', 'Bdim', 'F', 'D7', 'G7', 'C7', 'F', 'D-7', 'F', 'C7', 'F#dim', 'C7', 'F', 'Cm6', 'D7', 'G7', 'C7', 'F', 'D-7', 'F', 'A7', 'Em7', 'A7', 'Dm', 'F7', 'B-', 'Bdim', 'F', 'D7', 'G7', 'C7', 'F', 'D-7', 'F', 'C7', 'F#dim', 'C7', 'F', 'Cm6', 'D7', 'G7', 'C7', 'F', 'D-7', 'F', 'A7', 'Em7', 'A7', 'Dm', 'F7', 'B-', 'Bdim', 'F', 'D7', 'G7', 'C7', 'F', 'C7', 'F', 'Cm6', 'D7', 'G7', 'C7', 'F', 'C7', 'F', 'C7', 'F', 'Fm6', 'C', 'G7', 'C', 'G7', 'C', 'G7', 'C', 'C#dim', 'G7', 'C7', 'F', 'D-7', 'F', 'C7', 'F#dim', 'C7', 'F', 'Cm6', 'D7', 'G7', 'C7', 'F', 'D-7', 'F', 'A7', 'Em7', 'A7', 'Dm', 'F7', 'B-', 'Bdim', 'F', 'D7', 'G7', 'C7', 'F']",16
"Baby, It's Cold Outside",Cmaj7 Dm7 Em7 Dm7 Cmaj7 Dm7 Em7 Dm7 C C/E E-dim Dm7 G7 Dm7 G7 C Cmaj7/B C6/A C/G Gm7 Gm7/B- C7 F#13alterb5 F F#dim C6 D7 G7 C C/E E-dim Dm7 G7 Dm7 G7 C Cmaj7/B C6/A C/G Gm7 Gm7/B- C7 F#13alterb5 F F#dim D7 G7 C Em7/B Gm6/B- A7 D7 G7 C G7 C C/E E-dim Dm7 G7 Dm7 G7 C Cmaj7/B C6/A C/G Gm7 Gm7/B- C7 F#13alterb5 F F#dim C6 D7 G7 C C/E E-dim Dm7 G7 Dm7 G7 C Cmaj7/B C6/A C/G Gm7 Gm7/B- C7 F#13alterb5 F F#dim D7 G7 C Em7/B Gm6/B- A7 D7 G7 C G7 C C/E E-dim Dm7 G7 Dm7 G7 C Cmaj7/B C6/A C/G Gm7 Gm7/B- C7 F#13alterb5 F F#dim C6 D7 G7 C C/E E-dim Dm7 G7 Dm7 G7 C Cmaj7/B C6/A C/G Gm7 Gm7/B- C7 F#13alterb5 F F#dim D7 G7 C Em7/B Gm6/B- A7 D7 G7,"['Cmaj7', 'Dm7', 'Em7', 'Dm7', 'Cmaj7', 'Dm7', 'Em7', 'Dm7', 'C', 'C/E', 'E-dim', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Cmaj7/B', 'C6/A', 'C/G', 'Gm7', 'Gm7/B-', 'C7', 'F#13alterb5', 'F', 'F#dim', 'C6', 'D7', 'G7', 'C', 'C/E', 'E-dim', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Cmaj7/B', 'C6/A', 'C/G', 'Gm7', 'Gm7/B-', 'C7', 'F#13alterb5', 'F', 'F#dim', 'D7', 'G7', 'C', 'Em7/B', 'Gm6/B-', 'A7', 'D7', 'G7', 'C', 'G7', 'C', 'C/E', 'E-dim', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Cmaj7/B', 'C6/A', 'C/G', 'Gm7', 'Gm7/B-', 'C7', 'F#13alterb5', 'F', 'F#dim', 'C6', 'D7', 'G7', 'C', 'C/E', 'E-dim', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Cmaj7/B', 'C6/A', 'C/G', 'Gm7', 'Gm7/B-', 'C7', 'F#13alterb5', 'F', 'F#dim', 'D7', 'G7', 'C', 'Em7/B', 'Gm6/B-', 'A7', 'D7', 'G7', 'C', 'G7', 'C', 'C/E', 'E-dim', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Cmaj7/B', 'C6/A', 'C/G', 'Gm7', 'Gm7/B-', 'C7', 'F#13alterb5', 'F', 'F#dim', 'C6', 'D7', 'G7', 'C', 'C/E', 'E-dim', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Cmaj7/B', 'C6/A', 'C/G', 'Gm7', 'Gm7/B-', 'C7', 'F#13alterb5', 'F', 'F#dim', 'D7', 'G7', 'C', 'Em7/B', 'Gm6/B-', 'A7', 'D7', 'G7']",21
"Baby, Won't You Please Come Home",Fmaj7 C7alter#3 Fmaj7 C7alter#3 Fmaj7 E-7add#11 D7 G7 C7 E/o7 A7 Dm7 G7 C7 Fmaj7 Am7 D7 G7 E/o7 A7 B-maj7 Bdim Fmaj7 E-7 D7 G7 C7 Fmaj7 Gm7 C7 Fmaj7 E-7add#11 D7 G7 C7 E/o7 A7 Dm7 G7 C7 Fmaj7 Am7 D7 G7 E/o7 A7 B-maj7 Bdim Fmaj7 E-7 D7 G7 C7 A7alter#5 D7 G7 C7 Fmaj7 Gm7 C7,"['Fmaj7', 'C7alter#3', 'Fmaj7', 'C7alter#3', 'Fmaj7', 'E-7add#11', 'D7', 'G7', 'C7', 'E/o7', 'A7', 'Dm7', 'G7', 'C7', 'Fmaj7', 'Am7', 'D7', 'G7', 'E/o7', 'A7', 'B-maj7', 'Bdim', 'Fmaj7', 'E-7', 'D7', 'G7', 'C7', 'Fmaj7', 'Gm7', 'C7', 'Fmaj7', 'E-7add#11', 'D7', 'G7', 'C7', 'E/o7', 'A7', 'Dm7', 'G7', 'C7', 'Fmaj7', 'Am7', 'D7', 'G7', 'E/o7', 'A7', 'B-maj7', 'Bdim', 'Fmaj7', 'E-7', 'D7', 'G7', 'C7', 'A7alter#5', 'D7', 'G7', 'C7', 'Fmaj7', 'Gm7', 'C7']",15
Bach Goes To Town,C,['C'],1
Back Alley Blues,D D7 G7 D B-7 Em7 A7 D B- A7 D A7 D D7 G7 D B-7 Em7 A7 D B- A7 D9,"['D', 'D7', 'G7', 'D', 'B-7', 'Em7', 'A7', 'D', 'B-', 'A7', 'D', 'A7', 'D', 'D7', 'G7', 'D', 'B-7', 'Em7', 'A7', 'D', 'B-', 'A7', 'D9']",8
Back At The Chicken Shack - Jimmy Smith,C7 F7 C7 G7 F7 C7,"['C7', 'F7', 'C7', 'G7', 'F7', 'C7']",3
Back Home In Indiana,Cmaj7 C#dim D9 G13 Cmaj7 Am7 D9 G13 C A7 D7 G7 C C7 F Cdim C D7 G7 C A7 D7 G7 Am A-7 C E7 Am Adim C G7 C Dm G7,"['Cmaj7', 'C#dim', 'D9', 'G13', 'Cmaj7', 'Am7', 'D9', 'G13', 'C', 'A7', 'D7', 'G7', 'C', 'C7', 'F', 'Cdim', 'C', 'D7', 'G7', 'C', 'A7', 'D7', 'G7', 'Am', 'A-7', 'C', 'E7', 'Am', 'Adim', 'C', 'G7', 'C', 'Dm', 'G7']",17
Back In Your Own Backyard,Am7 D7alter#5 Gm7 C13 Fmaj7 D7 Gm7 F#9add#11 F F+ F Ddim Gm7 C6 Cmaj7 C7alter#5 F C7alter#5 F F+ F Ddim Gm7 C6 Cmaj7 C7alter#5 F F7 Am Am7 D7 G7 C7 C7alter#5 F F+ F Ddim Gm7 C6 Cmaj7 C6 F C7alter#5,"['Am7', 'D7alter#5', 'Gm7', 'C13', 'Fmaj7', 'D7', 'Gm7', 'F#9add#11', 'F', 'F+', 'F', 'Ddim', 'Gm7', 'C6', 'Cmaj7', 'C7alter#5', 'F', 'C7alter#5', 'F', 'F+', 'F', 'Ddim', 'Gm7', 'C6', 'Cmaj7', 'C7alter#5', 'F', 'F7', 'Am', 'Am7', 'D7', 'G7', 'C7', 'C7alter#5', 'F', 'F+', 'F', 'Ddim', 'Gm7', 'C6', 'Cmaj7', 'C6', 'F', 'C7alter#5']",17
